1.00,2019_09_21_12_15_42,yolo_outputs/2019_09_21_12_15_42.png
0.95,2019_09_21_12_15_44,yolo_outputs/2019_09_21_12_15_44.png
0.86,2019_09_21_13_09_12,yolo_outputs/2019_09_21_13_09_12.png
0.84,2019_09_21_13_09_21,yolo_outputs/2019_09_21_13_09_21.png
0.82,2019_09_21_13_09_25,yolo_outputs/2019_09_21_13_09_25.png
0.89,2019_09_21_13_09_28,yolo_outputs/2019_09_21_13_09_28.png
0.96,2019_09_21_13_09_30,yolo_outputs/2019_09_21_13_09_30.png
0.99,2019_09_21_13_09_32,yolo_outputs/2019_09_21_13_09_32.png
0.96,2019_09_21_13_09_36,yolo_outputs/2019_09_21_13_09_36.png
0.97,2019_09_21_13_09_37,yolo_outputs/2019_09_21_13_09_37.png
1.00,2019_09_21_13_09_39,yolo_outputs/2019_09_21_13_09_39.png
0.99,2019_09_21_13_09_41,yolo_outputs/2019_09_21_13_09_41.png
0.93,2019_09_21_13_09_54,yolo_outputs/2019_09_21_13_09_54.png
0.99,2019_09_21_13_09_56,yolo_outputs/2019_09_21_13_09_56.png
